0	0.9420000000000002
1	0.15566259765625
2	0.022305755615234377
3	0.003985228389501572
4	0.0006056110099889357
5	0.00010362250502657898
6	1.6567632034339246e-05
7	2.822249202581728e-06
8	4.6855317820506184e-07
9	8.006788989136683e-08
10	1.3483113144041343e-08
11	2.31643269095385e-09
12	3.9411133211098015e-10
13	6.804161910550083e-11
14	1.1655617877109892e-11
15	2.024021033240897e-12
16	3.480985573574291e-13
17	6.083420442740128e-14
18	1.04919870534681e-14
19	1.8421137011614963e-15
20	4.1861045879665326e-16
21	4.3107878378023656e-16
22	4.3368086899420177e-16
23	4.3368086899420177e-16
24	4.3368086899420177e-16
25	4.3368086899420177e-16
26	4.3368086899420177e-16
27	4.3368086899420177e-16
28	4.3368086899420177e-16
29	4.3368086899420177e-16
